threshold,clean_alerts_per_1000_vectors,phase1_affected_detection_rate,phase1_control_detection_rate,phase2_price_deviation_strict_recall,phase2_price_spike_strict_recall,phase2_stale_recall,phase4_implausible_price_strict_recall
1.0,115.21656198629051,0.8545837723919916,0.8109065155807366,0.541860465116279,0.9961013645224172,0.654639175257732,0.929745889387145
1.5,87.42163596969417,0.815595363540569,0.7648725212464589,0.4744186046511628,0.9941520467836257,0.5790378006872853,0.8834080717488789
2.0,45.63272074863686,0.7608008429926238,0.7103399433427762,0.40232558139534885,0.9922027290448343,0.45532646048109965,0.828101644245142
3.0,10.961496362332554,0.6238145416227608,0.5686968838526912,0.3023255813953488,0.9766081871345029,0.1563573883161512,0.7115097159940209
3.5,3.5854786421550684,0.5131717597471022,0.4511331444759207,0.2627906976744186,0.8499025341130604,0.06443298969072164,0.6427503736920778
4.0,0.4344448573706141,0.3519494204425711,0.16643059490084985,0.018604651162790697,0.056530214424951264,0.00859106529209622,0.08968609865470852
4.5,0.019089710245909337,0.16859852476290832,0.04036827195467422,0.0,0.001949317738791423,0.0,0.0014947683109118087
5.0,0.0,0.002107481559536354,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
