metric,halfspace,isoforest,rrcf_forest,rrcf_forest_inst_raw2,rrcf_forest_raw2,rrcf_forest_z2,zscore,zscore_raw2,zscore_z2
Operating threshold (raw_score),0.937044,0.733936,193.72,239.2,243.2,227.3,13.1418,6.59917,1.80929
Target false alarms / 1000 vectors,1,1,1,1,1,1,1,1,1
Clean-day false alarms / 1000 vectors (held out),0.822,0.757,1.073,0.939,0.927,0.933,0.582,0.945,0.842
Affected instruments detected (recall),"26.9% [23.8, 29.9]","26.9% [23.7, 29.9]","14.2% [12.0, 16.7]","19.9% [16.9, 22.6]","23.5% [20.5, 26.5]","10.4% [8.4, 12.6]","20.9% [18.0, 23.7]","30.0% [27.1, 33.2]","15.8% [13.3, 18.4]"
Control instruments flagged (same days),"9.4% [7.9, 11.1]","13.6% [11.8, 15.4]","13.9% [12.2, 15.7]","9.3% [7.9, 10.9]","21.5% [19.3, 23.7]","13.6% [11.8, 15.5]","5.9% [4.7, 7.0]","28.8% [26.6, 31.2]","21.0% [18.6, 23.1]"
Difference affected - control (CI95),"[14.1, 20.9] pp","[9.8, 16.6] pp","[-2.7, 3.1] pp","[7.3, 13.6] pp","[-1.8, 5.6] pp","[-6.0, -0.6] pp","[12.0, 18.0] pp","[-2.7, 5.1] pp","[-8.4, -2.0] pp"
price_deviation: recall,"6.2% [4.1, 8.6]","28.7% [24.6, 33.3]","51.0% [45.7, 55.9]","41.6% [34.9, 47.6]","10.3% [7.4, 13.4]","61.8% [56.4, 66.7]","73.3% [67.9, 78.2]","99.8% [99.3, 100.0]","90.8% [88.0, 93.4]"
price_spike: recall,"11.1% [8.2, 14.2]","40.5% [36.3, 45.0]","86.5% [83.2, 89.4]","59.5% [54.0, 64.5]","47.5% [41.2, 53.5]","84.8% [81.5, 87.9]","97.6% [96.0, 99.0]","100.0% [100.0, 100.0]","98.3% [97.1, 99.3]"
stale_price: recall,"1.0% [0.4, 1.8]","4.1% [3.0, 5.3]","2.1% [1.3, 3.1]","2.2% [1.2, 3.5]","4.5% [3.3, 5.8]","3.9% [2.8, 5.0]","3.3% [2.2, 4.7]","5.5% [4.2, 7.1]","2.3% [1.5, 3.3]"
implausible_price: strict recall,"19.3% [15.8, 23.0]","38.5% [34.4, 43.0]","81.1% [76.4, 85.3]","50.9% [45.2, 55.9]","55.5% [50.3, 60.7]","77.5% [71.6, 82.5]","93.8% [91.6, 95.8]","100.0% [100.0, 100.0]","89.6% [85.3, 93.2]"
implausible_price: lenient recall (5 s window),"19.7% [15.9, 23.6]","39.5% [35.0, 44.1]","81.5% [77.1, 85.6]","50.9% [45.5, 56.0]","55.5% [50.3, 60.7]","77.5% [72.0, 82.5]","94.0% [91.9, 96.1]","100.0% [100.0, 100.0]","89.8% [85.3, 93.5]"
phase1: cluster precision,84.6%,63.8%,36.4%,35.0%,40.2%,31.5%,90.1%,34.5%,29.3%
phase2: cluster precision,6.4%,13.7%,31.7%,19.8%,16.5%,28.0%,19.2%,35.7%,43.9%
phase4_implausible_price: cluster precision,4.1%,11.5%,23.7%,18.7%,20.3%,23.7%,6.9%,30.9%,35.4%
